STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,481754,1,0,1,29,6090,1,9,2011,5,2,30,0,29.57628333,-98.440525,0,1,0,88,88,0,0,0,1,1
48,481755,2,0,3,113,2800,1,9,2011,5,18,28,1,32.67655278,-97.02393333,6,1,0,18,48,0,0,0,1,0
48,481757,2,0,2,249,0,1,9,2011,5,16,13,0,27.98890556,-97.93898333,6,1,0,16,45,0,0,0,1,1
48,481758,2,0,3,439,260,1,9,2011,5,17,49,0,32.65529167,-97.12301389,6,1,0,17,57,0,0,0,1,1
48,481759,2,0,4,91,4870,2,9,2011,6,22,49,0,29.72156389,-98.06430833,6,1,0,23,3,0,0,0,1,0
48,481760,1,0,2,277,5220,2,9,2011,6,12,2,0,33.64786389,-95.54636111,0,10,0,12,59,0,0,0,1,1
48,481761,1,0,1,307,0,2,9,2011,6,8,35,0,31.03061389,-99.22965278,0,1,0,88,88,0,0,0,1,0
48,481762,1,0,1,309,0,2,9,2011,6,23,30,0,31.55883889,-97.26129444,0,1,0,88,88,0,0,0,1,1
48,481763,3,0,2,355,1550,2,9,2011,6,6,13,1,27.72508056,-97.405875,0,1,0,88,88,0,0,0,1,0
48,481764,1,0,1,113,1730,3,9,2011,7,15,7,1,32.92480556,-96.76285278,0,1,0,88,88,0,0,0,1,0
48,481765,3,1,5,113,2590,3,9,2011,7,21,2,1,32.86226667,-96.65851389,0,1,0,88,88,0,0,0,1,0
48,481766,1,1,1,231,1060,3,9,2011,7,20,51,0,33.06883333,-96.23020278,0,1,0,99,99,0,0,0,1,1
48,481767,1,1,1,453,330,3,9,2011,7,21,51,0,30.27252778,-97.68936667,0,1,0,21,57,0,0,0,1,0
48,481768,1,0,1,15,6280,4,9,2011,1,17,54,1,29.75859722,-96.22209722,0,10,0,88,88,0,0,0,1,0
48,481769,2,0,2,29,6090,4,9,2011,1,17,24,0,29.3077,-98.38979444,6,1,0,18,0,0,0,0,1,1
48,481770,2,1,2,439,260,4,9,2011,1,0,23,1,32.67765,-97.09760278,0,1,0,88,88,0,0,0,1,0
48,481771,1,0,2,29,6090,5,9,2011,2,21,50,1,29.44722222,-98.35291389,0,1,0,88,88,0,0,0,1,0
48,481773,1,0,1,167,3920,6,9,2011,3,4,4,0,29.52591667,-95.04807222,0,1,0,88,88,0,0,0,1,1
48,481774,1,0,2,231,2860,6,9,2011,3,18,36,0,33.06576667,-96.094075,0,1,0,19,3,0,0,0,1,0
48,481775,3,0,3,439,2800,6,9,2011,3,16,40,0,32.64143889,-97.04825278,6,1,0,17,3,0,0,0,1,0
48,481776,1,2,2,453,330,6,9,2011,3,2,10,1,30.34813889,-97.74991111,0,1,0,88,88,19,0,0,2,0
