STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10093,2,0,2,115,26,2,2010,6,6,45,0,33.81895556,-86.21908333,2,1,0,6,55,0,0,0,1,0
1,10094,2,0,2,85,27,2,2010,7,0,45,1,32.01388889,-86.51933889,2,1,0,1,5,0,0,0,1,0
1,10095,1,1,2,25,28,2,2010,1,3,30,1,31.63695833,-87.67197222,0,1,0,4,0,0,0,0,1,1
1,10096,1,0,2,113,28,2,2010,1,8,19,0,32.44179167,-85.19560556,0,1,0,88,88,0,0,0,1,1
1,10097,1,1,1,3,16,3,2010,3,17,16,1,30.67776944,-87.98653611,0,1,0,17,20,0,0,0,1,1
1,10098,1,0,1,115,23,3,2010,3,2,11,0,33.58479167,-86.50296111,0,1,0,2,14,0,0,0,1,0
1,10099,1,0,1,125,1,3,2010,2,0,35,0,33.13769444,-87.64694167,0,1,0,88,88,0,0,0,1,0
1,10100,2,0,3,73,4,3,2010,5,5,53,0,33.47755833,-86.92650556,6,1,0,5,58,0,0,0,1,1
1,10101,1,0,1,103,5,3,2010,6,3,0,1,34.51023056,-86.60039722,0,1,0,3,30,0,0,0,1,1
1,10102,3,0,7,9,5,3,2010,6,17,53,0,33.94765,-86.66964722,1,1,0,18,7,0,0,0,1,0
1,10103,1,0,1,3,7,3,2010,1,9,0,0,31.11272222,-87.63730556,0,1,0,9,6,0,0,0,1,0
1,10104,2,0,2,81,8,3,2010,2,12,55,1,32.53660278,-85.08393889,6,1,0,88,88,0,0,0,1,0
1,10105,3,0,3,111,8,3,2010,2,10,25,0,33.15569167,-85.30783611,9,1,0,10,47,0,0,0,1,0
1,10106,2,0,3,103,11,4,2010,1,17,20,0,34.52496389,-86.98576944,2,1,0,17,5,0,0,0,1,0
1,10107,1,1,2,19,13,4,2010,3,20,48,0,34.22063889,-85.59632222,0,1,0,20,25,0,0,0,1,0
1,10108,3,0,3,103,15,4,2010,5,14,25,0,34.49039444,-86.83872778,8,1,0,14,35,0,0,0,1,0
1,10109,1,0,1,15,13,4,2010,3,1,15,1,33.61486944,-85.74397778,0,1,0,1,46,0,0,0,1,0
1,10110,1,0,1,73,15,1,2010,6,8,45,1,33.5168,-87.04959167,0,1,0,8,30,0,0,0,1,0
1,10111,1,0,1,73,17,1,2010,1,0,40,0,33.32699722,-86.90885,0,2,0,0,53,0,0,0,1,0
1,10112,1,0,1,115,24,1,2010,1,0,0,0,33.55803056,-86.50056944,0,99,0,7,51,0,0,0,1,1
1,10113,2,0,2,93,19,2,2010,6,19,16,1,34.27760833,-87.69914722,1,1,0,19,31,0,0,0,1,0
1,10114,1,0,1,97,1,3,2010,2,20,0,1,30.687425,-88.04191389,0,2,0,20,14,0,0,0,1,1
1,10115,2,0,2,31,3,3,2010,4,15,16,0,31.29174722,-85.84850833,6,1,0,15,26,0,0,0,1,1
1,10117,1,0,1,97,15,3,2010,2,0,50,0,30.65559167,-88.14048056,0,1,0,0,54,0,0,0,1,1
1,10118,2,0,2,13,5,3,2010,6,14,9,0,31.84843333,-86.640225,1,1,0,14,13,0,0,0,1,0
1,10119,1,0,1,95,6,3,2010,7,2,40,0,34.19097222,-86.15076667,0,1,0,2,44,0,0,0,1,0
1,10120,1,1,2,73,7,3,2010,1,18,5,0,33.45003056,-86.89966111,0,1,0,18,11,0,0,0,1,0
1,10121,2,0,7,73,15,3,2010,2,19,49,0,33.406675,-86.88198333,6,1,0,19,52,0,0,0,1,0
1,10122,3,0,3,97,18,3,2010,5,6,34,0,30.70381389,-88.12374167,2,1,0,6,40,0,0,0,1,1
1,10123,1,1,1,55,18,3,2010,5,10,58,1,34.00475278,-85.99595556,0,1,0,11,2,0,0,0,1,0
1,10124,1,0,2,73,19,3,2010,6,17,46,0,33.35084167,-86.83755,0,1,0,17,52,0,0,0,1,0
1,10125,1,0,3,97,20,3,2010,7,20,30,0,30.69185833,-88.10165556,0,1,0,20,34,20,0,0,2,1
1,10126,5,0,5,97,25,3,2010,5,6,55,1,30.74037778,-88.17845833,2,1,0,7,2,14,0,0,1,0
1,10127,1,1,1,95,27,3,2010,7,18,37,1,34.30062222,-86.27484167,0,1,0,18,40,0,0,0,1,0
1,10128,1,0,1,97,28,3,2010,1,18,44,0,30.546625,-88.17363889,0,1,0,18,52,0,0,0,1,1
1,10129,1,0,3,95,29,3,2010,2,7,0,0,34.19841667,-86.16336944,0,1,0,7,8,0,0,0,1,0
1,10130,2,0,2,91,31,3,2010,4,6,4,1,99.9999,999.9999,1,1,0,6,7,0,0,0,1,0
1,10131,1,0,2,49,3,4,2010,7,14,40,1,34.65635556,-85.60430556,0,1,0,14,50,0,0,0,1,0
1,10132,2,0,2,21,3,4,2010,7,15,25,0,32.80230833,-86.66976944,2,1,0,15,38,0,0,0,1,0
