STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,WEATHER,LATITUDE,LONGITUD
1,101,3,2,21,32,2,8,0,1,5,21,47,0,0,0,0,1,6,0,10170,2007,1,32.27299167,-86.17176111
1,73,3,3,4,10,1,1,0,0,0,4,18,0,0,0,0,1,7,0,10171,2007,1,33.51424167,-86.84453889
1,15,3,7,23,24,2,2,0,1,5,23,26,0,0,0,0,1,4,0,10172,2007,1,33.66372778,-85.826625
1,3,3,7,2,1,1,2,0,0,0,2,10,0,20,0,0,1,4,0,10173,2007,1,30.40738611,-87.68071111
1,73,3,8,15,25,2,3,0,0,5,99,99,0,0,0,0,1,5,0,10174,2007,1,33.49002778,-86.83956111
1,71,3,9,21,10,1,2,0,1,0,21,24,0,0,0,0,1,6,0,10175,2007,1,34.67270833,-86.21022778
1,55,3,9,13,20,1,1,0,1,0,13,26,0,0,0,0,1,6,1,10176,2007,1,33.91905556,-85.91363889
1,127,3,10,13,25,2,3,0,1,5,13,40,0,0,0,0,2,7,1,10177,2007,1,33.80759444,-87.14197222
1,43,3,10,16,20,2,5,0,1,5,16,32,0,0,0,0,2,7,0,10178,2007,1,34.07628056,-86.86619444
1,77,3,10,23,45,1,2,0,0,0,0,25,0,18,0,0,1,7,0,10179,2007,1,34.945975,-87.49966944
1,125,3,11,1,5,2,3,0,0,4,1,20,0,0,0,0,1,1,1,10180,2007,1,33.50782778,-87.64496111
1,25,3,11,4,30,1,1,0,0,0,5,48,0,0,0,0,1,1,1,10181,2007,1,31.692625,-88.04268333
1,123,3,11,3,15,1,1,0,0,0,3,39,0,0,0,0,1,1,1,10182,2007,1,32.55996667,-85.81115833
1,21,3,12,5,25,1,1,0,1,0,5,51,0,0,0,0,1,2,1,10183,2007,1,32.77257778,-86.56679444
1,121,3,13,17,5,2,3,0,0,5,17,17,0,0,0,0,1,3,0,10184,2007,1,33.22186111,-86.32033889
1,19,3,14,13,35,2,3,0,0,2,13,43,0,0,0,0,1,4,0,10185,2007,1,34.18226944,-85.639925
1,65,3,15,9,30,2,3,0,0,4,9,57,0,0,0,0,1,5,0,10186,2007,1,32.95002222,-87.62346944
1,71,3,15,11,0,2,3,0,0,5,11,25,0,0,0,0,1,5,0,10187,2007,2,34.65085,-85.94294444
1,83,3,16,15,0,1,1,0,0,0,15,11,0,0,0,0,1,6,0,10188,2007,1,34.66517778,-86.84358333
1,31,3,17,22,50,1,1,0,0,0,23,16,0,0,0,0,1,7,1,10189,2007,1,31.32473333,-86.02088611
1,111,3,17,20,45,2,2,0,0,9,20,57,0,0,0,0,1,7,0,10190,2007,1,33.32976944,-85.46046111
1,55,3,17,13,50,2,2,0,0,2,13,56,0,0,0,0,1,7,0,10191,2007,1,33.96599444,-85.86629167
1,75,3,18,12,25,1,1,0,0,0,12,50,0,0,0,0,1,1,0,10192,2007,1,33.73636944,-87.96042222
1,21,3,20,5,40,2,2,0,0,2,6,0,0,0,0,0,1,3,0,10193,2007,1,32.88681944,-86.67053333
1,97,3,20,19,30,2,5,0,0,5,19,40,0,0,0,0,1,3,0,10194,2007,1,30.54772778,-88.17460278
1,99,3,21,10,25,1,1,0,0,0,11,7,0,0,0,0,1,4,0,10195,2007,1,31.72619167,-87.23974444
1,111,3,22,21,54,1,1,0,0,0,22,14,0,0,0,0,1,5,0,10196,2007,1,33.35996944,-85.39438889
1,69,3,23,8,22,2,6,0,1,2,8,46,0,0,0,0,1,6,0,10197,2007,1,31.257525,-85.23332222
1,45,3,23,22,55,1,2,0,0,0,23,6,0,0,0,0,1,6,1,10198,2007,1,31.38683611,-85.63530556
1,3,3,23,14,0,2,3,0,0,2,14,15,0,0,0,0,2,6,0,10199,2007,1,30.98721944,-87.625775
1,127,3,24,11,15,2,2,0,0,2,11,30,0,0,0,0,1,7,0,10200,2007,1,33.81597778,-86.98343889
1,123,3,24,1,0,1,1,0,0,0,1,20,0,0,0,0,1,7,1,10201,2007,1,32.81031944,-85.78751944
1,99,3,24,9,40,2,2,0,0,8,0,0,0,0,0,0,1,7,1,10202,2007,1,31.72611389,-87.21030833
1,121,3,24,23,55,1,1,0,0,0,0,1,0,0,0,0,1,7,1,10203,2007,1,33.58759167,-86.17849167
1,123,3,25,18,10,2,3,0,0,0,18,21,0,0,0,0,1,1,1,10204,2007,1,32.5331,-85.86068889
1,97,3,26,15,56,1,2,0,0,0,16,4,0,0,0,0,1,2,1,10205,2007,1,30.56103889,-88.18136667
1,51,3,26,6,30,4,6,0,0,2,6,56,0,0,0,0,1,2,1,10206,2007,1,32.70286944,-86.09303889
1,17,3,28,13,40,2,3,0,1,5,13,47,0,0,0,0,1,4,1,10207,2007,1,32.7984,-85.23380278
1,89,3,28,5,20,2,2,0,0,2,5,43,0,0,0,0,1,4,0,10208,2007,1,34.53677222,-86.53479167
1,131,3,29,13,10,1,1,0,0,0,0,0,0,0,0,0,1,5,0,10209,2007,1,32.01960278,-87.31296944
1,53,3,30,1,30,1,1,0,0,0,2,5,0,0,0,0,1,6,1,10210,2007,1,31.20093889,-87.17428611
1,11,3,30,11,15,1,1,0,0,0,11,45,0,0,0,0,1,6,0,10211,2007,1,32.18723889,-85.87309167
1,21,3,30,19,30,2,10,0,0,2,19,48,0,0,0,0,3,6,0,10212,2007,1,32.764675,-86.62781389
1,19,3,30,7,10,1,1,0,0,0,7,40,0,0,0,0,1,6,0,10213,2007,1,34.05451389,-85.45958889
1,97,3,31,11,35,3,4,0,1,5,12,3,0,0,0,0,1,7,0,10214,2007,1,30.66970833,-88.04788333
1,93,3,31,12,35,1,1,0,0,0,12,53,0,0,0,0,1,7,0,10215,2007,1,34.17668333,-88.03869722
1,99,3,31,20,40,1,1,0,0,0,20,52,0,0,0,0,1,7,1,10216,2007,1,31.40275278,-87.34209722
1,131,3,10,22,15,1,2,0,0,0,23,0,0,0,0,0,1,7,1,10217,2007,1,32.02787222,-87.52607778
1,123,3,24,3,20,1,2,1,0,0,4,1,0,0,0,0,1,7,1,10218,2007,1,32.76866944,-85.80614722
1,105,4,1,18,42,2,6,0,0,5,19,31,0,0,0,0,1,1,0,10219,2007,1,32.79711111,-87.11496667
1,97,4,1,20,35,1,2,1,0,0,8,45,0,0,0,0,1,1,0,10220,2007,1,30.701125,-88.2255
