STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,WEATHER,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD
1,89,2,22,15,48,3,3,0,0,1,2,15,50,1,0,0,0,1,4,0,10102,2006,34.83434444,-86.52056389
1,91,2,22,12,15,2,2,0,0,5,1,12,36,0,0,0,0,1,4,0,10103,2006,32.0535,-87.79555
1,15,2,10,18,40,1,4,0,0,0,2,18,50,0,0,0,0,1,6,0,10104,2006,33.86644444,-85.77217778
1,93,2,23,5,50,2,4,0,0,2,1,6,6,0,0,0,0,2,5,0,10105,2006,34.02463333,-87.93974167
1,89,2,23,8,30,1,1,0,0,0,1,8,40,0,0,0,0,1,5,0,10106,2006,34.75853611,-86.47441944
1,53,2,23,1,15,1,1,0,0,0,1,1,27,0,0,0,0,1,5,0,10107,2006,31.02026667,-87.207325
1,89,2,11,7,10,1,1,0,0,0,2,7,30,0,0,0,0,1,7,1,10108,2006,34.85989167,-86.77347778
1,75,2,23,11,37,1,1,0,0,0,1,12,6,0,0,0,0,1,5,0,10109,2006,33.91361944,-88.08046944
1,15,2,24,19,50,2,5,0,9,3,1,20,10,0,0,0,0,1,6,0,10110,2006,33.61585278,-85.76638611
1,113,2,11,17,25,1,1,0,0,0,1,17,45,0,0,0,0,1,7,0,10111,2006,32.22805833,-85.00280556
1,65,2,25,19,15,1,1,0,0,0,2,15,2,0,18,0,0,1,7,1,10112,2006,32.52496667,-87.76746111
1,87,2,25,22,15,1,5,0,1,0,2,22,45,0,0,0,0,1,7,0,10113,2006,32.5104,-85.59481111
1,121,2,25,2,50,1,1,0,1,0,1,3,13,0,0,0,0,1,7,1,10114,2006,33.50292222,-86.12858889
1,127,2,11,10,10,1,1,0,0,0,1,10,26,0,0,0,0,1,7,0,10115,2006,33.69487222,-87.08055833
1,73,2,11,3,20,1,2,0,0,0,2,3,30,0,0,0,0,1,7,1,10116,2006,33.45961944,-86.81124722
1,21,2,25,14,30,2,4,0,0,2,2,14,45,0,0,0,0,3,7,1,10117,2006,32.91950833,-86.80058056
1,37,3,1,8,45,1,1,0,0,0,1,0,0,0,0,0,0,1,4,0,10118,2006,32.955375,-86.32190278
1,1,3,2,19,55,2,2,0,1,2,1,20,15,0,0,0,0,2,5,0,10119,2006,32.51710556,-86.59801389
1,29,3,2,14,35,1,2,1,0,0,1,14,50,0,0,0,0,1,5,0,10120,2006,33.53929167,-85.38425
1,109,2,11,23,45,1,2,0,0,0,1,0,8,0,0,0,0,1,7,1,10121,2006,31.93918889,-86.1071
1,101,3,2,17,25,1,2,1,0,0,1,17,33,0,0,0,0,1,5,0,10122,2006,32.30478611,-86.33850278
1,51,2,13,17,10,1,1,0,0,0,1,17,20,0,0,0,0,1,2,1,10123,2006,32.678525,-86.30746667
1,109,3,4,10,55,1,1,0,0,0,1,11,8,0,0,0,0,1,7,0,10124,2006,31.79753889,-85.90285556
1,47,3,4,1,45,2,3,0,0,2,1,2,3,0,0,0,0,1,7,1,10125,2006,32.30535,-86.98339444
1,59,3,4,15,0,2,3,0,0,2,1,15,24,0,0,0,0,1,7,0,10126,2006,34.57440278,-87.95958889
1,97,3,4,4,45,1,1,0,0,0,1,6,45,0,0,0,0,1,7,1,10127,2006,30.71123056,-88.26419722
1,113,2,12,3,50,1,3,0,1,0,1,4,34,0,0,0,0,1,1,1,10128,2006,32.45480833,-85.00857222
1,47,3,5,16,15,2,4,0,0,5,1,16,27,0,0,0,0,1,1,0,10129,2006,32.46475278,-87.09263056
1,55,3,6,21,11,1,1,0,0,0,1,21,13,0,0,0,0,1,2,0,10130,2006,34.03878611,-85.97469167
1,5,2,14,11,50,2,2,0,1,4,1,12,8,0,0,0,0,1,3,0,10131,2006,31.76821667,-85.19078611
1,55,3,7,20,40,1,3,0,0,0,1,20,52,0,0,0,0,1,3,1,10132,2006,34.19988333,-85.91663889
1,53,3,7,0,5,2,4,0,1,2,1,0,29,0,0,0,0,1,3,1,10133,2006,31.09086389,-87.52505
1,81,3,7,10,11,1,1,0,0,0,1,10,19,0,0,0,0,1,3,0,10134,2006,32.62668611,-85.37135278
1,117,3,8,20,55,1,1,0,0,0,1,21,10,0,0,0,0,1,4,1,10135,2006,33.16484444,-86.891825
1,69,2,14,20,35,1,2,0,0,0,1,20,58,0,0,0,0,1,3,0,10136,2006,31.272525,-85.23684167
1,101,3,8,14,55,1,2,0,1,0,1,15,6,0,0,0,0,1,4,1,10137,2006,32.38144722,-86.37906667
1,97,2,14,15,0,2,6,0,0,4,1,15,45,0,0,0,0,1,3,0,10138,2006,30.48738889,-88.310225
1,49,3,9,11,10,2,2,0,0,4,1,11,19,0,0,0,0,1,5,0,10139,2006,34.35396111,-85.93158889
1,123,3,9,19,25,4,4,0,1,5,1,19,35,0,14,0,0,1,5,1,10140,2006,32.96531389,-86.007275
1,97,3,9,22,51,3,4,0,1,2,1,23,5,0,0,0,0,1,5,1,10141,2006,30.51373056,-88.28320556
1,79,3,9,16,5,2,3,0,0,4,1,16,31,0,0,0,0,1,5,0,10142,2006,34.48024167,-87.292525
1,129,3,10,14,50,2,2,0,0,2,1,15,14,1,0,0,0,1,6,0,10143,2006,31.25698611,-88.35655556
