STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,WEATHER
1,99,3,24,17,40,1,2,0,0,0,18,5,0,0,0,0,1,3,1,10144,2009,31.3565,-87.387,1
1,111,3,24,9,43,2,2,0,0,2,9,56,0,0,0,0,1,3,0,10145,2009,33.1317,-85.4733,1
1,1,3,26,12,30,1,1,0,1,0,12,39,0,0,0,0,1,5,0,10146,2009,32.4836,-86.5351,1
1,59,3,26,16,10,1,2,0,0,0,16,35,0,0,0,0,1,5,0,10147,2009,34.3873,-88.0593,1
1,33,3,27,19,30,1,4,1,1,0,19,43,0,0,0,0,1,6,0,10148,2009,34.6478,-87.6536,1
1,71,3,27,16,45,1,1,0,0,0,17,2,0,0,0,0,1,6,0,10149,2009,34.8357,-85.6388,1
1,133,3,27,6,34,1,2,1,0,0,6,46,0,0,0,0,1,6,0,10150,2009,34.121,-87.4378,2
1,97,3,28,5,30,1,1,0,0,0,6,16,0,0,0,0,1,7,1,10151,2009,31.0611,-88.0247,2
1,51,3,29,9,10,1,1,0,0,0,9,30,0,0,0,0,1,1,0,10152,2009,32.7426,-86.1032,1
1,107,3,30,15,30,2,6,0,0,2,15,39,0,0,0,0,1,2,0,10153,2009,33.4183,-88.0082,1
1,33,3,31,14,30,2,2,0,1,5,14,45,0,0,0,0,1,3,0,10154,2009,34.6178,-87.6555,2
1,97,3,25,9,30,2,2,0,0,1,9,30,0,0,0,0,1,4,0,10155,2009,30.8946,-88.0392,2
1,55,3,26,22,45,1,1,0,0,0,22,53,0,0,0,0,1,5,0,10156,2009,33.9162,-86.1038,1
1,45,3,3,19,0,1,3,0,0,0,19,13,0,0,0,0,1,3,1,10157,2009,31.3462,-85.4848,1
1,73,3,18,14,30,2,2,0,0,5,14,36,0,0,0,0,1,4,0,10158,2009,33.3942,-86.971,1
1,23,3,20,12,30,1,1,0,0,0,13,0,0,0,0,0,1,6,0,10159,2009,32.1173,-88.3582,1
1,103,3,25,17,27,2,3,0,1,5,17,31,0,0,0,0,1,4,0,10160,2009,34.5591,-86.9633,1
1,127,3,29,14,0,1,4,0,0,0,14,30,0,0,0,0,1,1,0,10161,2009,33.7998,-87.0136,1
1,71,3,27,23,10,3,7,0,0,2,23,20,0,0,0,0,2,6,1,10162,2009,34.7322,-86.1165,2
1,69,3,30,9,37,2,2,0,1,1,9,47,0,0,0,0,1,2,0,10163,2009,31.2407,-85.3676,1
1,89,4,17,20,59,2,4,0,0,1,21,1,0,20,0,0,2,6,1,10164,2009,34.6915,-86.5682,1
1,69,4,1,0,1,1,1,0,0,0,10,25,0,0,0,0,1,4,1,10165,2009,31.0528,-85.272,1
1,103,4,2,1,15,1,2,0,1,0,1,25,0,0,0,0,1,5,1,10166,2009,34.6199,-87.0558,1
1,111,4,4,22,15,1,1,0,0,0,22,25,0,0,0,0,1,7,1,10167,2009,33.2055,-85.2562,1
1,127,4,6,2,30,1,1,0,0,0,3,15,0,0,0,0,1,2,0,10168,2009,33.628,-87.2528,1
1,63,4,7,22,30,2,3,0,1,2,22,56,0,0,0,0,1,3,0,10169,2009,32.6443,-87.8724,1
1,21,4,8,16,20,1,3,0,0,0,16,55,0,0,0,0,1,4,0,10170,2009,33.0155,-86.7552,1
1,89,4,1,4,57,1,1,0,1,0,5,13,0,0,0,0,1,4,0,10171,2009,34.6896,-86.7161,1
1,109,3,2,8,45,2,2,0,0,2,9,15,0,0,0,0,1,2,0,10172,2009,31.8062,-86.0788,1
