STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,MAN_COLL,TRAF_FLO,SP_LIMIT,SUR_COND,HIT_RUN,ARR_HOUR,ARR_MIN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,YEAR,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,51,3,21,20,0,1,1,0,0,0,1,45,1,0,20,10,0,0,0,0,1,6,1,10118,2008,32.5109,-86.0333,1,1
1,73,2,23,22,26,2,3,0,1,5,2,70,2,0,22,28,0,0,0,0,2,7,0,10119,2008,33.6429,-86.6145,2,1
1,19,3,21,19,58,2,3,0,0,5,1,55,1,0,20,33,0,0,0,0,2,6,0,10120,2008,34.1096,-85.5722,2,1
1,83,2,20,15,15,2,3,0,0,5,1,45,1,0,15,25,0,0,0,0,1,4,1,10121,2008,34.8064,-87.0539,2,1
1,103,2,20,15,15,2,4,0,0,5,2,50,1,0,15,25,0,0,0,0,1,4,0,10122,2008,34.3718,-86.9093,2,1
1,49,3,13,5,50,3,3,0,0,8,1,55,1,0,6,10,0,0,0,0,1,5,0,10123,2008,34.3151,-86.0794,3,1
1,97,2,24,10,45,1,1,0,0,0,1,45,1,0,11,10,0,0,0,0,1,1,0,10124,2008,30.8224,-88.2516,1,1
1,101,3,8,8,11,1,1,0,1,0,2,70,2,0,8,15,0,0,0,0,1,7,1,10125,2008,32.3663,-86.1472,1,2
1,91,3,11,21,45,1,1,0,1,0,1,55,1,0,22,10,0,0,0,0,1,3,0,10126,2008,32.4345,-87.7839,1,1
1,89,3,12,2,0,1,2,0,0,0,1,55,1,0,2,11,0,0,0,0,1,4,1,10127,2008,34.8957,-86.7468,1,1
1,125,3,13,4,30,1,1,0,0,0,1,45,1,0,5,45,0,0,0,0,1,5,1,10128,2008,33.0893,-87.6753,1,1
1,93,3,14,6,0,1,1,0,1,0,1,45,2,0,6,35,0,0,0,0,1,6,0,10129,2008,34.2478,-87.9576,1,2
1,51,3,15,0,15,1,1,0,0,0,1,35,1,0,0,35,0,0,0,0,1,7,0,10130,2008,32.6354,-86.281,1,1
1,17,3,16,18,15,1,1,0,0,0,1,45,1,0,18,28,0,0,0,0,1,1,1,10131,2008,32.7614,-85.1971,1,1
1,31,3,6,21,30,2,3,0,0,5,1,35,1,0,21,38,0,0,0,0,1,5,0,10132,2008,31.3694,-85.8418,2,1
1,1,2,29,22,30,1,1,0,0,0,1,45,1,0,22,45,0,20,0,0,1,6,1,10133,2008,32.6839,-86.5479,1,1
1,97,3,8,22,30,1,2,0,0,0,1,45,1,0,22,45,0,0,0,0,1,7,0,10134,2008,30.5074,-88.259,1,1
1,7,3,12,6,2,2,4,0,1,2,1,55,1,0,6,30,0,0,0,0,1,4,0,10135,2008,33.1597,-87.1531,2,1
1,73,3,12,10,5,2,2,0,1,9,2,70,1,0,10,10,0,0,0,0,1,4,0,10136,2008,33.4244,-86.957,1,1
1,97,3,13,22,15,1,1,0,0,0,1,40,1,0,13,15,0,0,0,0,1,5,1,10137,2008,30.8227,-88.2481,1,1
1,73,3,16,3,15,1,1,0,0,0,1,30,1,0,3,25,0,0,0,0,1,1,0,10138,2008,33.4117,-86.9363,1,1
1,51,3,29,22,51,1,1,0,0,0,1,45,2,0,23,5,0,0,0,0,1,7,0,10139,2008,32.4908,-86.3653,1,2
1,15,3,19,12,0,4,9,0,1,7,2,70,2,0,12,5,0,0,0,0,1,4,0,10140,2008,33.6053,-85.8191,4,2
