REG_STAT,DEATHS,ST_CASE,WGTCD_TR,L_STATE,L_TYPE,L_STATUS,PREV_ACC,PREV_OTH
1,0,10414,,1,1,6,1,0
1,0,10415,2,1,1,6,0,0
1,0,10416,,1,1,6,0,0
1,0,10417,,1,1,6,0,0
1,1,10417,1,1,1,6,0,0
1,3,10418,,1,1,6,0,1
37,0,10418,8,21,1,6,0,1
1,1,10419,,1,1,6,0,0
92,1,10420,,1,1,6,1,0
1,0,10421,2,1,1,6,0,1
1,1,10421,,1,1,6,0,0
1,1,10422,,1,1,6,0,0
1,4,10423,,1,2,6,1,0
47,0,10423,8,48,1,6,0,0
1,0,10423,,1,2,6,0,0
1,1,10424,9,1,1,2,0,0
1,1,10425,2,1,1,6,0,0
1,1,10426,,1,1,6,0,1
1,0,10426,2,1,1,6,0,1
1,0,10427,1,1,2,6,2,0
1,1,10427,1,1,1,6,0,0
1,1,10428,,1,2,6,0,0
1,2,10429,,1,1,6,0,0
1,0,10429,,1,1,6,0,0
1,1,10430,,1,1,6,0,0
1,0,10430,,1,1,6,0,0
1,0,10431,,1,1,6,1,0
1,0,10432,,1,1,6,1,0
37,2,10432,,37,1,6,0,0
1,0,10433,,1,1,6,2,0
1,1,10433,,1,1,6,0,0
1,1,10434,2,1,1,6,1,0
1,1,10435,,1,0,0,0,0
1,1,10436,,1,1,6,0,0
92,1,10437,,1,1,6,1,0
1,0,10438,,1,1,1,1,1
1,1,10438,,1,1,6,1,0
1,0,10438,,1,1,6,1,2
1,0,10438,,1,1,6,4,0
1,1,10439,,1,1,6,0,0
1,1,10440,,1,1,6,0,0
1,1,10441,,1,1,6,0,0
1,1,10442,,1,1,6,0,0
1,1,10443,,1,1,6,0,0
1,1,10444,,1,1,6,0,0
1,0,10444,2,1,1,6,0,0
13,1,10445,5,13,1,6,98,2
17,0,10445,8,1,1,6,1,0
1,0,10446,,1,1,6,0,0
13,1,10446,,13,1,6,98,0
1,1,10447,,1,1,6,0,0
1,1,10448,1,1,1,6,0,0
1,1,10449,,1,1,2,0,0
1,1,10450,,1,0,0,0,0
1,1,10451,,1,1,6,0,0
1,1,10452,,1,1,6,0,1
1,1,10453,2,1,1,6,0,0
37,2,10454,,37,1,6,1,0
48,0,10454,2,48,1,6,1,1
1,1,10455,1,1,1,1,1,1
1,1,10456,,1,1,1,0,0
1,1,10457,,1,0,0,0,0
1,1,10457,,1,1,6,0,1
1,1,10458,2,1,1,6,0,0
1,0,10458,8,1,1,6,0,1
1,1,10459,1,1,1,6,0,0
1,1,10460,,1,1,6,0,0
1,0,10460,1,1,1,6,0,0
1,1,10461,,1,1,6,0,0
1,0,10461,6,1,1,6,0,0
1,1,10462,,1,1,1,0,0
1,1,10463,,1,2,6,0,0
1,0,10464,,1,1,6,0,0
1,1,10464,,1,1,6,0,0
1,0,10465,,1,0,0,0,0
1,2,10466,,1,1,6,1,0
1,0,10466,,1,1,6,0,0
13,1,10467,,13,1,6,98,0
1,0,10467,,1,1,6,0,0
