VEH_NO,PER_NO,AGE,SEX,REST_USE,ST_CASE,BODY_TYP
1,1,72,1,3,10232,31
2,1,36,1,3,10232,66
1,1,40,2,0,10233,14
1,2,7,2,0,10233,14
2,1,27,2,3,10233,4
2,2,32,1,3,10233,4
1,1,18,1,0,10234,4
2,1,34,2,3,10234,4
2,2,99,9,3,10234,4
2,3,99,9,3,10234,4
1,1,34,2,3,10235,4
1,2,15,2,3,10235,4
2,1,27,2,3,10235,4
2,2,99,9,3,10235,4
3,1,35,1,3,10235,62
1,1,27,1,0,10236,2
1,2,15,1,0,10236,2
1,3,28,1,0,10236,2
1,1,55,2,3,10237,4
1,2,87,2,3,10237,4
2,1,55,1,5,10237,80
1,1,20,1,0,10238,30
2,1,45,1,0,10238,4
2,2,44,2,0,10238,4
3,1,38,2,3,10238,14
1,1,25,1,0,10239,16
1,1,16,1,3,10240,2
1,2,99,9,3,10240,2
2,1,55,1,3,10240,21
2,2,85,1,3,10240,21
3,1,15,1,0,10240,31
3,2,69,2,0,10240,31
3,3,51,1,0,10240,31
1,1,39,1,0,10241,31
1,1,16,2,3,10242,4
1,2,14,2,0,10242,4
1,3,15,2,0,10242,4
1,4,15,2,0,10242,4
1,5,15,2,0,10242,4
1,1,24,1,99,10243,14
1,1,16,1,0,10244,4
1,2,22,1,0,10244,4
1,3,20,1,0,10244,4
1,1,44,2,3,10245,15
1,1,43,2,3,10246,2
2,1,47,1,3,10246,63
1,1,34,1,5,10247,80
2,1,34,1,3,10247,4
2,2,99,9,3,10247,4
1,1,48,1,0,10248,15
1,1,55,1,0,10249,31
1,1,32,2,3,10250,31
1,2,99,9,3,10250,31
2,1,32,1,5,10250,80
1,1,23,1,5,10251,80
2,1,54,2,3,10251,4
1,1,19,2,3,10252,2
2,1,66,1,3,10252,31
3,1,51,1,3,10252,31
4,1,41,1,5,10252,80
1,1,27,1,0,10253,4
1,2,18,2,0,10253,4
1,3,21,2,0,10253,4
1,4,30,2,0,10253,4
1,5,39,1,0,10253,4
2,1,48,1,3,10253,66
1,1,45,1,3,10254,31
1,2,99,9,3,10254,31
1,3,45,2,0,10254,31
1,1,19,2,3,10255,14
1,2,26,1,3,10255,14
2,1,35,2,3,10255,14
2,2,2,1,4,10255,14
1,1,32,1,3,10256,20
2,1,15,1,3,10256,4
2,2,99,9,3,10256,4
2,3,99,9,3,10256,4
1,1,38,2,3,10257,2
1,2,29,2,3,10257,2
1,3,1,2,4,10257,2
0,1,53,2,0,10258,
1,1,18,2,3,10258,15
1,1,16,2,0,10259,2
1,2,99,9,3,10259,2
0,1,31,2,0,10260,
1,1,59,1,3,10260,66
1,2,99,9,3,10260,66
1,1,25,1,0,10261,2
1,1,74,2,3,10262,16
2,1,68,1,3,10262,66
1,1,37,1,0,10263,66
1,1,85,1,0,10264,14
2,1,41,1,3,10264,66
1,1,31,1,0,10265,16
1,1,42,2,0,10266,4
1,1,68,2,0,10267,15
1,1,79,1,3,10268,4
1,2,74,2,3,10268,4
2,1,58,1,3,10268,66
1,1,52,1,0,10269,30
2,1,33,1,3,10269,31
1,1,35,1,3,10270,2
1,2,99,9,3,10270,2
2,1,31,1,5,10270,80
1,1,39,1,0,10271,2
1,1,19,1,3,10272,4
2,1,29,2,3,10272,4
1,1,16,2,3,10273,14
1,2,14,1,0,10273,14
1,3,18,2,3,10273,14
1,1,45,1,0,10274,4
1,1,30,1,3,10275,2
1,1,83,1,3,10276,4
1,2,71,2,0,10276,4
2,1,82,1,3,10276,4
2,2,82,2,3,10276,4
1,1,36,1,3,10277,2
1,2,34,2,3,10277,2
1,3,31,1,2,10277,2
1,1,19,2,0,10278,30
1,2,99,9,0,10278,30
1,3,15,1,0,10278,30
1,4,14,1,0,10278,30
1,1,48,1,5,10279,80
0,1,52,1,0,10280,
1,1,99,9,99,10280,4
1,1,38,1,0,10281,4
1,1,26,1,3,10282,4
1,1,16,1,3,10283,30
1,2,17,1,3,10283,30
1,1,42,2,3,10284,14
1,2,17,1,3,10284,14
1,3,13,2,0,10284,14
1,1,26,1,5,10285,80
1,1,23,1,3,10286,60
1,2,99,9,3,10286,60
2,1,29,2,0,10286,4
1,1,72,1,3,10287,31
2,1,19,2,3,10287,4
2,2,99,9,4,10287,4
2,3,99,9,4,10287,4
1,1,31,1,0,10288,14
1,2,42,2,0,10288,14
1,1,16,2,3,10289,4
1,2,15,2,3,10289,4
1,3,16,2,0,10289,4
1,1,60,2,3,10290,4
1,1,44,2,3,10291,4
2,1,46,2,3,10291,14
1,1,67,1,3,10292,73
1,2,99,9,3,10292,73
2,1,46,2,3,10292,15
2,2,12,2,2,10292,15
3,1,34,1,3,10292,14
3,2,27,1,3,10292,14
1,1,57,2,3,10293,14
1,2,56,2,3,10293,14
1,3,15,1,3,10293,14
1,4,8,1,3,10293,14
1,1,83,1,3,10294,30
1,1,18,1,3,10295,31
1,1,47,1,0,10296,6
1,1,24,1,0,10297,4
2,1,40,1,3,10297,66
2,2,99,9,3,10297,66
2,3,99,9,0,10297,66
1,1,53,1,3,10298,21
2,1,44,1,3,10298,63
3,1,26,1,3,10298,4
1,1,29,1,99,10299,30
2,1,21,1,5,10299,80
2,2,24,2,5,10299,80
1,1,17,2,0,10300,14
1,1,45,1,3,10301,66
2,1,68,1,3,10301,20
1,1,84,2,3,10302,4
2,1,43,1,0,10302,14
3,1,34,1,3,10302,14
1,1,23,2,0,10303,90
1,1,39,1,0,10304,2
2,1,33,1,3,10304,4
2,2,31,2,3,10304,4
2,3,13,1,0,10304,4
2,4,10,2,0,10304,4
2,5,3,1,4,10304,4
1,1,22,1,3,10305,4
1,1,61,1,0,10306,4
2,1,25,2,3,10306,4
0,1,42,2,0,10307,
1,1,49,1,5,10307,80
1,1,36,2,0,10308,2
1,1,63,1,3,10309,4
