ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
121767,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000
121768,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000
121769,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
121770,0.0000,12.0000,4.0000,14.0000,19.0000,0.0000,0.0000,0.0000,0.0000,12.0000
121771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121772,12.0000,27.0000,22.0000,11.0000,40.0000,29.0000,20.0000,23.0000,19.0000,16.0000
121774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121778,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000,23.0000
121779,20.0000,0.0000,22.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000
121781,17.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121782,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000
121783,16.0000,12.0000,12.0000,12.0000,14.0000,12.0000,12.0000,15.0000,26.0000,12.0000
121784,22.0000,22.0000,22.0000,22.0000,22.0000,22.0000,22.0000,22.0000,22.0000,22.0000
121786,28.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000
121787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121788,12.0000,9.0000,3.0000,3.0000,15.0000,16.0000,3.0000,3.0000,4.0000,3.0000
121789,22.0000,25.0000,8.0000,21.0000,0.0000,8.0000,19.0000,0.0000,15.0000,15.0000
121790,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000,14.0000
